Date,Steps,Calories_Burned,Distance_km,Active_Minutes,Sleep_Hours,Water_Glasses,Workout_Type,Mood_Rating
2024-03-01,8542,320,6.2,45,7.5,8,Running,4
2024-03-02,12350,485,9.1,72,8.0,10,Cycling,5
2024-03-03,5230,195,3.8,25,6.5,6,Rest Day,3
2024-03-04,9870,375,7.3,55,7.0,9,Swimming,4
2024-03-05,7650,290,5.6,40,7.5,8,Walking,4
2024-03-06,15200,580,11.2,95,8.5,12,HIIT,5
2024-03-07,4120,155,3.0,18,5.5,5,Rest Day,2
2024-03-08,10500,405,7.8,62,7.0,9,Running,4
2024-03-09,6890,260,5.1,35,6.0,7,Yoga,4
2024-03-10,11200,430,8.3,68,8.0,10,Cycling,5
2024-03-11,3560,135,2.6,15,5.0,4,Rest Day,2
2024-03-12,9340,355,6.9,52,7.5,8,Weight Training,4
2024-03-13,8120,310,6.0,48,7.0,9,Running,4
2024-03-14,14500,555,10.7,88,8.5,11,HIIT,5
2024-03-15,5780,220,4.3,28,6.5,6,Walking,3
2024-03-16,10800,415,8.0,65,7.5,10,Swimming,5
2024-03-17,4350,165,3.2,20,6.0,5,Rest Day,3
2024-03-18,12100,465,9.0,75,8.0,11,Cycling,5
2024-03-19,7420,280,5.5,42,7.0,8,Yoga,4
2024-03-20,9650,370,7.1,58,7.5,9,Running,4
2024-03-21,6230,235,4.6,32,6.5,7,Walking,3
2024-03-22,13800,530,10.2,82,8.5,12,HIIT,5
2024-03-23,4890,185,3.6,22,5.5,5,Rest Day,3
2024-03-24,11500,440,8.5,70,8.0,10,Weight Training,4
2024-03-25,8950,340,6.6,50,7.0,9,Swimming,4
2024-03-26,7100,270,5.2,38,6.5,7,Running,4
2024-03-27,15800,605,11.7,98,9.0,13,HIIT,5
2024-03-28,5450,205,4.0,26,6.0,6,Yoga,4
2024-03-29,10200,390,7.5,60,7.5,9,Cycling,4
2024-03-30,9180,350,6.8,54,7.0,8,Weight Training,4
